Vote Name,Table Name,Category,Approved Budget,Cashlimits by End,Released by End,Spent by End Jun,% Budget Released,% Budget spent,% Releases spent
Fort Portal Referral Hospital,Overview of Vote Expenditures,Wage,3.432,3.090,2.998,2.998,87.3%, 87.3%, 100.0%
Fort Portal Referral Hospital,Overview of Vote Expenditures,Non Wage,1.306,1.473,1.365,1.353, 104.5%, 103.7%, 99.2%
Fort Portal Referral Hospital,Overview of Vote Expenditures,GoU, 0.700,0.700,0.700,0.700, 100.0%, 100.0%, 99.9%
Fort Portal Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000,N/A,N/A,N/A
Fort Portal Referral Hospital,Overview of Vote Expenditures,GoU Total, 5.438,5.262,5.063,5.051,93.1%, 92.9%,99.8%
Fort Portal Referral Hospital,Overview of Vote Expenditures, Total GoU+Donor (MTEF), 5.438, N/A, 5.063,5.051,93.1%, 92.9%,99.8%
Fort Portal Referral Hospital,Overview of Vote Expenditures,Arrears, 0.000,N/A,0.000,0.000,N/A, N/A, N/A
Fort Portal Referral Hospital,Overview of Vote Expenditures, Taxes**, 0.000,N/A,0.000,0.000,N/A, N/A, N/A
Fort Portal Referral Hospital,Overview of Vote Expenditures, Total Budget, 5.438,5.262,5.063,5.051,93.1%, 92.9%,99.8%
Fort Portal Referral Hospital,Overview of Vote Expenditures, (iii) Non Tax Revenue,0.200,N/A,0.150,0.142,75.1%, 70.8%,94.3%
Fort Portal Referral Hospital,Overview of Vote Expenditures,Grand Total, 5.638,5.262,5.213,5.192,92.5%, 92.1%,99.6%
Fort Portal Referral Hospital,Overview of Vote Expenditures,"Excluding Taxes, Arrears",5.638,5.262,5.213,5.192,92.5%, 92.1%,99.6%
Gulu Referral Hospital,Overview of Vote Expenditures,Wage,2.844,2.236,2.557,2.390,89.9%, 84.0%,93.5%
Gulu Referral Hospital,Overview of Vote Expenditures,Non Wage,1.082,1.166,0.968,0.968,89.4%, 89.4%, 100.0%
Gulu Referral Hospital,Overview of Vote Expenditures,GoU, 1.000,1.000,0.898,0.898,89.8%, 89.8%, 100.0%
Gulu Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000,N/A,N/A,N/A
Gulu Referral Hospital,Overview of Vote Expenditures,GoU Total, 4.926,4.402,4.423,4.256,89.8%, 86.4%,96.2%
Gulu Referral Hospital,Overview of Vote Expenditures, Total GoU+Donor (MTEF), 4.926, N/A, 4.423,4.256,89.8%, 86.4%,96.2%
Gulu Referral Hospital,Overview of Vote Expenditures,Arrears, 0.073,N/A,0.073,0.073, 100.0%, 100.0%,100.0%
Gulu Referral Hospital,Overview of Vote Expenditures, Taxes**, 0.000,N/A,0.000,0.000,N/A, N/A, N/A
Gulu Referral Hospital,Overview of Vote Expenditures, Total Budget, 4.999,4.402,4.496,4.328,89.9%, 86.6%,96.3%
Gulu Referral Hospital,Overview of Vote Expenditures, (iii) Non Tax Revenue,0.203,N/A,0.202,0.202,99.4%, 99.4%, 100.0%
Gulu Referral Hospital,Overview of Vote Expenditures,Grand Total, 5.202,4.402,4.697,4.530,90.3%, 87.1%,96.4%
Gulu Referral Hospital,Overview of Vote Expenditures,"Excluding Taxes, Arrears",5.129,4.402,4.625,4.457,90.2%, 86.9%,96.4%
Hoima Referral Hospital,Overview of Vote Expenditures,Wage,2.458,2.233,2.294,2.290,93.3%,93.2%, 99.8%
Hoima Referral Hospital,Overview of Vote Expenditures,Non Wage,0.963,1.185,1.019,0.971, 105.8%,100.8%,95.3%
Hoima Referral Hospital,Overview of Vote Expenditures,GoU, 1.200,1.200,1.200,1.198, 100.0%,99.9%, 99.9%
Hoima Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000,N/A, N/A, N/A
Hoima Referral Hospital,Overview of Vote Expenditures,GoU Total, 4.621,4.619,4.513,4.459,97.7%,96.5%, 98.8%
Hoima Referral Hospital,Overview of Vote Expenditures, Total GoU+Donor (MTEF), 4.621, N/A, 4.513,4.459,97.7%,96.5%, 98.8%
Hoima Referral Hospital,Overview of Vote Expenditures,Arrears, 0.003,N/A,0.003,0.001, 100.1%,25.0%, 25.0%
Hoima Referral Hospital,Overview of Vote Expenditures, Taxes**, 0.000,N/A,0.000,0.000, N/A, N/A,N/A
Hoima Referral Hospital,Overview of Vote Expenditures, Total Budget, 4.624,4.619,4.516,4.460,97.7%,96.5%, 98.8%
Hoima Referral Hospital,Overview of Vote Expenditures, (iii) Non Tax Revenue,0.030,N/A,0.000,0.000,0.0%,0.0%,N/A
Hoima Referral Hospital,Overview of Vote Expenditures,Grand Total, 4.654,4.619,4.516,4.460,97.0%,95.8%, 98.8%
Hoima Referral Hospital,Overview of Vote Expenditures,"Excluding Taxes, Arrears",4.651,4.619,4.513,4.459,97.0%,95.9%, 98.8%
Jinja Referral Hospital,Overview of Vote Expenditures,Wage,3.617,3.617,3.665,3.665, 101.3%, 101.3%,100.0%
Jinja Referral Hospital,Overview of Vote Expenditures,Non Wage,0.957,1.198,1.001,1.001, 104.5%, 104.5%,100.0%
Jinja Referral Hospital,Overview of Vote Expenditures,GoU, 1.000,1.000,1.000,0.716, 100.0%, 71.6%,71.6%
Jinja Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000,N/A, N/A, N/A
Jinja Referral Hospital,Overview of Vote Expenditures,GoU Total, 5.574,5.815,5.665,5.381,101.6%,96.5%,95.0%
Jinja Referral Hospital,Overview of Vote Expenditures, Total GoU+Donor (MTEF), 5.574, N/A, 5.665,5.381,101.6%,96.5%,95.0%
Jinja Referral Hospital,Overview of Vote Expenditures,Arrears, 0.443,N/A,0.443,0.443, 100.0%, 100.0%,100.0%
Jinja Referral Hospital,Overview of Vote Expenditures, Taxes**, 0.000,N/A,0.000,0.000,N/A, N/A, N/A
Jinja Referral Hospital,Overview of Vote Expenditures, Total Budget, 6.017,5.815,6.108,5.824,101.5%,96.8%,95.3%
Jinja Referral Hospital,Overview of Vote Expenditures, (iii) Non Tax Revenue,0.291,N/A,0.230,0.230,79.3%, 79.3%, 100.0%
Jinja Referral Hospital,Overview of Vote Expenditures,Grand Total, 6.307,5.815,6.339,6.055,100.5%,96.0%,95.5%
Jinja Referral Hospital,Overview of Vote Expenditures,"Excluding Taxes, Arrears",5.864,5.815,5.896,5.612, 100.5%, 95.7%,95.2%
Kabale Referral Hospital,Overview of Vote Expenditures,Wage,2.385,2.196,2.223,2.217,93.2%, 93.0%,99.7%
Kabale Referral Hospital,Overview of Vote Expenditures,Non Wage,1.293,1.312,1.292,1.252,99.9%, 96.9%,96.9%
Kabale Referral Hospital,Overview of Vote Expenditures,GoU, 0.700,0.700,0.770,0.766, 110.1%, 109.5%, 99.5%
Kabale Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000,N/A,N/A,N/A
Kabale Referral Hospital,Overview of Vote Expenditures,GoU Total, 4.378,4.207,4.285,4.236,97.9%, 96.8%,98.8%
Kabale Referral Hospital,Overview of Vote Expenditures, Total GoU+Donor (MTEF), 4.378, N/A, 4.285,4.236,97.9%, 96.8%,98.8%
Kabale Referral Hospital,Overview of Vote Expenditures,Arrears, 0.002,N/A,0.002,0.002, 100.0%, 100.0%,100.0%
Kabale Referral Hospital,Overview of Vote Expenditures, Taxes**, 0.000,N/A,0.000,0.000,N/A, N/A, N/A
Kabale Referral Hospital,Overview of Vote Expenditures, Total Budget, 4.380,4.207,4.288,4.238,97.9%, 96.8%,98.8%
Kabale Referral Hospital,Overview of Vote Expenditures, (iii) Non Tax Revenue,0.200,N/A,0.073,0.031,36.3%, 15.3%,42.2%
Kabale Referral Hospital,Overview of Vote Expenditures,Grand Total, 4.580,4.207,4.360,4.269,95.2%, 93.2%,97.9%
Kabale Referral Hospital,Overview of Vote Expenditures,"Excluding Taxes, Arrears",4.578,4.207,4.358,4.266,95.2%, 93.2%,97.9%
Masaka Referral Hospital,Overview of Vote Expenditures,Wage,2.574,2.461,2.512,2.474,97.6%, 96.1%,98.5%
Masaka Referral Hospital,Overview of Vote Expenditures,Non Wage,1.066,1.108,1.075,1.086, 100.9%, 101.9%,101.0%
Masaka Referral Hospital,Overview of Vote Expenditures,GoU, 1.100,1.100,1.100,1.099, 100.0%, 99.9%,99.9%
Masaka Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000,N/A,N/A,N/A
Masaka Referral Hospital,Overview of Vote Expenditures,GoU Total, 4.740,4.669,4.687,4.660,98.9%, 98.3%,99.4%
Masaka Referral Hospital,Overview of Vote Expenditures, Total GoU+Donor (MTEF), 4.740, N/A, 4.687,4.660,98.9%, 98.3%,99.4%
Masaka Referral Hospital,Overview of Vote Expenditures,Arrears, 0.008,N/A,0.008,0.008, 100.0%, 100.0%,100.0%
Masaka Referral Hospital,Overview of Vote Expenditures, Taxes**, 0.000,N/A,0.000,0.000,N/A, N/A, N/A
Masaka Referral Hospital,Overview of Vote Expenditures, Total Budget, 4.748,4.669,4.695,4.667,98.9%, 98.3%,99.4%
Masaka Referral Hospital,Overview of Vote Expenditures, (iii) Non Tax Revenue,0.388,N/A,0.350,0.348,90.3%, 89.9%,99.6%
Masaka Referral Hospital,Overview of Vote Expenditures,Grand Total, 5.135,4.669,5.045,5.016,98.2%, 97.7%,99.4%
Masaka Referral Hospital,Overview of Vote Expenditures,"Excluding Taxes, Arrears",5.127,4.669,5.037,5.008,98.2%, 97.7%,99.4%
Mbale Referral Hospital,Overview of Vote Expenditures,Wage,3.826, 3.793, 3.758,3.674,98.2%, 96.0%, 97.7%
Mbale Referral Hospital,Overview of Vote Expenditures,Non Wage,1.882, 2.081, 2.186,1.703,116.2%,90.5%, 77.9%
Mbale Referral Hospital,Overview of Vote Expenditures,GoU, 0.800, 0.800, 0.720,0.399,90.0%, 49.9%, 55.5%
Mbale Referral Hospital,Overview of Vote Expenditures,Donor*,0.000, N/A, 0.000,0.000, N/A, N/A,N/A
