Vote Name,Table Name,Sector,Approved Budget,released,spent,% Budget released,% budget spent,% releases spent
Arua Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services,5.36,5.37, 5.40,100.2%,100.7%, 100.5%
Arua Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided,4.36,4.37, 4.40,100.3%,101.1%, 100.8%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services,0.33,0.31, 0.29, 94.9%, 87.2%,91.9%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services, 0.18,0.16, 0.14, 93.4%, 82.2%,88.0%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed,0.04,0.06, 0.05,143.7%,132.4%,92.1%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services, 0.08,0.08, 0.07,105.0%, 86.2%,82.1%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services,3.61,3.63, 3.74,100.4%,103.5%, 103.1%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services,0.08,0.08, 0.07, 98.2%, 90.7%,92.3%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation services, 0.04,0.05, 0.04,112.2%, 98.8%,88.1%
Arua Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases, 1.00,1.00, 0.99,100.0%, 99.1%,99.1%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085680 Hospital Construction/rehabilitation,0.58,0.58, 0.58,100.0%,100.0%, 100.0%
Arua Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation,0.42,0.42, 0.41,100.0%, 97.9%,97.9%
Arua Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote,5.36,5.37, 5.40,100.2%,100.7%, 100.5%
Arua Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,4.36,4.37,4.40, 100.3%,101.1%,100.8%
Arua Referral Hospital,GoU Expenditure by Item,211101  General Staff Salaries, 2.97,2.97,3.15, 100.0%,106.0%,106.0%
Arua Referral Hospital,GoU Expenditure by Item,211103  Allowances, 0.07,0.06,0.04,88.8%, 63.7%, 71.7%
Arua Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.04,0.04,0.04,88.3%, 79.4%, 89.9%
Arua Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.01,0.01,0.01, 105.0%, 90.9%, 86.5%
Arua Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.00,0.00,0.00, 114.0%,100.9%, 88.5%
Arua Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.03,0.03,0.02, 101.7%, 78.3%, 76.9%
Arua Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.04,0.03,0.03,82.8%, 80.7%, 97.5%
